,,,,,Vorticity,,,,,,,Energy,,,,,,,,,,,,,,,,,,,,,,,
,Parameters,,,Velocity,,Time,w',w_total,|w_total|,e-foldings,,,Time,E_y(J/m),log(E_y),2*growth rate*t,,,,,,,,,,,,,,,,,,,
,delta,0.1 m,,,,0,0.00009912,-2.49990088,2.49990088,0,,,0,8.33E-08,-16.30041721,0,,,,,,,,,,,,,,,,,,,
,Kinematic Viscosity,.00001 m^2/s,,,,5,0.01471075,-2.48528925,2.48528925,5,,,5,1.84E-03,-6.30041721,10,,,,,,,,,,,,,,,,,,,
,Lx,10m,,,,10,2.18326948,-0.31673052,0.31673052,10,,,10,4.04E+01,3.69958279,20,,,,,,,,,,,,,,,,,,,
,Lz,5m,,,,15,324.0259212,321.5259212,321.5259212,15,,,15,8.91E+05,13.69958279,30,,,,,,,,,,,,,,,,,,,
,A_0,.0001 m/s,,,,20,48089.71059,48087.21059,48087.21059,20,,,20,1.96E+10,23.69958279,40,,,,,,,,,,,,,,,,,,,
,k_max,5 rad/m,,,,25,7137145.869,7137143.369,7137143.369,25,,,25,4.32E+14,33.69958279,50,,,,,,,,,,,,,,,,,,,
,lamba_max,1.2566 m,,,,30,1059246365,1059246363,1059246363,30,,,30,9.52E+18,43.69958279,60,,,,,,,,,,,,,,,,,,,
,# of billows,8,,,,35,1.57206E+11,1.57206E+11,1.57206E+11,35,,,35,2.10E+23,53.69958279,70,,,,,,,,,,,,,,,,,,,
,Growth Rate,1.0 s^-1,,,,40,2.33315E+13,2.33315E+13,2.33315E+13,40,,,40,4.62E+27,63.69958279,80,,,,,,,,,,,,,,,,,,,
,e-folding time,1 s,,,,45,3.46269E+15,3.46269E+15,3.46269E+15,45,,,45,1.02E+32,73.69958279,90,,,,,,,,,,,,,,,,,,,
,Linear regime validity,5.0 s,,,,50,5.13909E+17,5.13909E+17,5.13909E+17,50,,,50,2.24E+36,83.69958279,100,,,,,,,,,,,,,,,,,,,
,,,,,,55,7.62709E+19,7.62709E+19,7.62709E+19,55,,,55,4.93E+40,93.69958279,110,,,,,,,,,,,,,,,,,,,
,,,,,,60,1.13196E+22,1.13196E+22,1.13196E+22,60,,,60,1.09E+45,103.6995828,120,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
